placeQ,placeLabel,location
Q3890877,Palazzo Serafini-Ciancarelli,Point(13.882322 41.903409)
Q98703272,Palazzo Sidoni,Point(13.630419 42.294209)
Q99237471,Palazzo Sidoni,Point(13.397001 42.347798)
Q3890896,Palazzo Silone,Point(13.374138888 42.366055555)
Q65029841,Palazzo Simeonibus,Point(13.397939 42.347936)
Q16586334,Palazzo Sipari,Point(13.745247 41.688764)
Q55165786,Palazzo Spaventa,Point(13.397092 42.351892)
Q55237513,Palazzo Tabassi,Point(13.92159 42.049249)
Q93578645,Palazzo Tartagliozzi,Point(13.791362 42.588478)
Q24646867,Palazzo Torlonia,Point(13.424233 42.030434)
Q30889122,Palazzo Vastarini Cresi,Point(13.39532 42.352792)
Q25712350,Palazzo Vescovile,Point(13.42625 42.036888888)
Q55237570,Palazzo Vescovile,Point(13.92178 42.051061)
Q17462139,Palazzo Vitacolonna,Point(14.221633 42.190903)
Q65030003,Palazzo Zuzi,Point(13.396233 42.348098)
Q55140258,Palazzo comunale,Point(14.205848 42.090297)
Q72694753,Palazzo de Petris Fraggianni,Point(13.895331 42.236211)
Q26258086,Palazzo de' Nardis,Point(13.397038 42.348637)
Q21194449,Palazzo del Convitto,Point(13.399486 42.350757)
Q55164417,Palazzo del Municipio e chiostro annesso,Point(14.220181 42.191221)
Q118521984,Palazzo del Seminario,Point(13.979028 42.580056)
Q3891466,Palazzo della Prefettura,Point(13.396981 42.347399)
Q56258686,Palazzo della Ragione,Point(13.15853 41.74227)
Q55283989,Palazzo della Santissima Annunziata,Point(13.923301 42.049553)
Q65030671,Palazzo di Buccio di Ranallo,Point(13.399801 42.352185)
Q61754856,Palazzo di Città,Point(14.214097222 42.464233333)
Q55237539,Palazzo di Giovanni dalle Palle,Point(13.924012 42.04886)
Q24664016,Palazzo di Giustizia,Point(13.428134 42.035867)
Q43231240,Palazzo ex GIL (L'Aquila),Point(13.397812 42.344392)
Q113357896,Palazzo fortificato,Point(13.968413 42.518247)
Q113357901,Palazzo fortificato,Point(13.986131 42.23352)
Q113357900,Palazzo fortificato,Point(13.983394 42.333273)
Q113357903,Palazzo fortificato,Point(13.927002 42.243674)
Q113356560,Palazzo fortificato,Point(13.306782 42.436815)
Q118521985,Palazzo vescovile,Point(13.975778 42.580583)
Q112759644,Parco archeologico della Villa di Traiano,Point(13.159631 41.854611)
Q126284650,Parco della fauna,Point(13.403944444 42.025194444)
Q649559,Peltuinum,Point(13.62261 42.286929)
Q70211158,Piazza Garibaldi,Point(13.92622 42.04801)
Q56260862,Piazza Santa Maria Maggiore,Point(14.221448 42.190734)
Q24707725,Piazza Torlonia,Point(13.424731 42.029764)
Q56284506,Piazzetta Marcinelle,Point(13.72623 42.36401)
Q91672192,Pietraquaria,Point(13.40057 42.0228)
Q21552346,Pinacoteca Patiniana,Point(14.107823 41.78595)
Q55193989,Pinacoteca dantesca Fortunato Bellonzi,Point(13.925671 42.24214)
Q62104665,Porta Barete,Point(13.388967 42.355823)
Q64877034,Porta Bazzano,Point(13.401198 42.346649)
Q64877102,Porta Branconio,Point(13.397135 42.355398)
Q64877008,Porta Castello,Point(13.403988 42.35209)
Q56258731,Porta Cerere,Point(13.15245 41.74485)
Q64877108,Porta Leone,Point(13.404047 42.349652)
Q64877112,Porta Napoli,Point(13.395094 42.3416)
Q64876871,Porta Rivera,Point(13.389142 42.349743)
Q65556278,Porta Roiana,Point(13.39264 42.347069)
Q107362642,Porta Romana,Point(13.385029 42.353009)
Q56258734,Porta San Francesco,Point(13.1547601 41.7416262)
Q56260866,Porta San Giovanni,Point(14.220539 42.193354)
Q67534879,Porta San Lorenzo,Point(13.392442 42.355523)
Q55262311,Porta San Martino,Point(13.688668 42.310267)
Q96483175,Porta San Pelino,Point(13.729806666 42.23766)
Q107063842,Porta Sanguinaria,Point(13.2544819 41.6903207)
Q96483378,Porta Santa Maria,Point(13.728123 42.238212)
Q56258736,Porta Santa Maria,Point(13.1624913 41.7418907)
Q64877047,Porta Tione,Point(13.400732 42.345406)
Q101416450,Porta da capo,Point(13.644395 42.209191)
Q101416583,Porta da piedi,Point(13.643355 42.208299)
Q64877141,Porta della Stazione,Point(13.385261 42.351666)
Q64877120,Porta di Bagno,Point(13.394908 42.344801)
Q107362552,Porta di Lucoli,Point(13.391768 42.34736)
Q55262570,Porta di Torre Maggiore,Point(13.687938 42.310822)
Q55115645,Porta orientale,Point(14.134934 42.290759)
Q98544250,Porta urbica,Point(13.644489 42.343332)
Q21552360,Raccolta Internazionale d'Arte Ceramica Contemporanea,Point(13.711761 42.484573)
Q18426941,Rivisondoli,Point(14.06671 41.87023)
Q113584554,Rocca,Point(13.068522 42.295961)
Q113356559,Rocca,Point(13.412497 42.084267)
Q113583525,Rocca,Point(13.054869 41.807389)
Q124812100,Rocca,Point(13.2915 42.453666666)
Q18575855,Rocca Orsini,Point(13.34121 42.066772)
Q113584557,Rocca Vittiana,Point(13.026183 42.271349)
Q17025596,Rocca abbaziale,Point(13.09492 41.926013)
Q113583608,Rocca dei Colonna,Point(13.092887 41.843562)
Q113584452,Rocca di Corvaro,Point(13.266324 42.206965)
Q113584454,Rocca di Poggio Poponesco,Point(13.117136 42.268626)
Q113583610,Rocca di San Leucio,Point(13.416334 41.697382)
Q113356561,Rocca di Tremonti,Point(13.19432 42.093077)
Q3939498,Rocca di Villalago,Point(13.83651783 41.93647283)
Q126915765,Sant'Angelo in Vetulis,Point(13.9621557 42.03222513)
Q95963133,Santa Maria delle Grazie,Point(13.600238 42.484282)
Q20009856,Santuario della Santissima Trinità,Point(13.231051 41.956414)
Q116167640,Supinum,Point(13.524666666 41.939722222)
Q24814666,Taverna ducale,Point(13.832912 42.174248)
Q3554226,Teate,Point(14.168101 42.346992)
Q3982363,Teatro romano di Amiternum,Point(13.30991944 42.40386111)
Q55685833,Teatro romano di Chieti,Point(14.163451 42.347124)
Q26220411,Tempio di Ercole,Point(13.594268 42.578458)
Q3983297,Tempio italico,Point(13.755884 42.102117)
Q105090805,Tomba di Perseo,Point(13.3751 42.07772)
Q113357905,Torre,Point(14.07153 42.364101)
Q113356558,Torre,Point(13.743193 42.115371)
Q124740348,Torre,Point(13.568638888 41.800055555)
Q113583521,Torre,Point(13.678354 41.737608)
Q113585054,Torre,Point(13.115686 41.881528)
Q28658284,Torre Febonio,Point(13.539826 41.958697)
Q113583522,Torre Noverana,Point(13.236326 41.708524)
Q16616957,Torre Palombara,Point(13.749187 41.692455)
Q23907590,Torre Piccolomini,Point(13.666855 42.028023)
Q55193919,Torre Sterlich,Point(14.149981 42.449114)
Q63925699,Torre aragonese,Point(14.232173 42.357078)
Q124740551,Torre cilindrica,Point(13.53375 42.334194444)
Q124740756,Torre circolare,Point(13.510194444 42.098944444)
Q55193865,Torre civica,Point(13.832572 42.173729)
Q3995320,Torre civica,Point(13.398099 42.351016)
Q81514450,Torre del castello,Point(13.635208 42.203233)
Q55196587,Torre dell'Orologio,Point(13.59016 42.080207)
Q105356979,Torre dell'orologio,Point(13.812963 42.103803)
Q50356322,Torre delle Stelle,Point(13.590506 42.082424)
Q113584296,Torre di Cartore,Point(13.311133 42.165964)
Q3995557,Torre di Cerrano,Point(14.089413 42.58504)
Q55196528,Torre di Collarmele,Point(13.629462 42.059192)
Q55161533,Torre di Goriano Valli,Point(13.669053 42.189606)
Q113357907,Torre di Polegra,Point(14.109442 42.231632)
Q63926529,Torre di Porta Gabella,Point(14.233878 42.357669)
Q50330978,Torre di Roccapreturo,Point(13.699627 42.197023)
Q55196781,Torre di San Martino in Agne,Point(13.686843 41.931713)
Q55193991,Torre di Santa Jona,Point(13.510167 42.098917)
Q50356362,Torre di Sperone,Point(13.729045 41.94179)
Q113584297,Torre di Torano,Point(13.258905 42.151247)
Q113583518,Torre di Tufano,Point(13.204494 41.727207)
Q55193937,Torre di Venere dei Marsi,Point(13.647367 41.987745)
Q24724686,Torre e Palazzo De Felice,Point(14.043434 42.32107)
Q50331136,Torre medicea,Point(13.644161 42.343889)
Q73485140,Torretta Dannunziana,Point(14.191189 42.448126)
Q55197151,Torrione Orsini,Point(14.219634 42.187562)
Q56258915,Tratturo Celano - Foggia,Point(14.2137113 41.7682472)
Q28634797,Valle di Amplero,Point(13.618333333 41.908611111)
Q48809513,Vasto,Point(13.429045 42.442291)
Q4009185,Vecchio municipio di Villalago,Point(13.837173 41.935897)
Q1232857,Via Cecilia,Point(13.981081 42.5802)
Q64827837,Via Giuseppe Mazzini,Point(13.1589508 41.7416168)
Q64822264,Via Pio Salvati,Point(13.1516022 41.7445886)
Q64827843,Via San Nicola,Point(13.1595571 41.74148)
Q64827842,Via Tufoli,Point(13.1570037 41.7439642)
Q64827841,Via del parlatorio,Point(13.1565394 41.7429923)
Q64822265,Via della Valle,Point(13.152705 41.7426116)
Q64827838,Vicolo dei Montani,Point(13.1572292 41.7429648)
Q64827817,Vicolo del Gallo,Point(13.157249 41.743315)
Q64827836,Vicolo del macello,Point(13.1568236 41.7428094)
Q7930405,Villa Magna,Point(13.1119 41.6826)
Q30888806,Villa Silvestrella,Point(13.394918 42.355082)
Q26258080,Villa Urania,Point(14.208325 42.472528)
Q125118375,Vio,Point(13.366585 42.476689)
Q18558569,abbazia di San Bartolomeo,Point(13.848847222 42.338172222)
Q102396444,abbazia di San Bartolomeo Apostolo,Point(13.251743317 42.361622813)
Q334414,abbazia di San Clemente a Casauria,Point(13.930068 42.235203)
Q3603214,abbazia di San Domenico,Point(13.579757 41.696702)
Q14754943,abbazia di San Pietro ad Oratorium,Point(13.806124 42.246754)
Q1774956,abbazia di Santa Maria Arabona,Point(14.06221 42.30231)
Q118558965,acquedotto romano di Alba Fucens,Point(13.424583333 42.092277777)
Q100868752,acropoli La Giostra,Point(13.600281 41.917846)
Q21011990,anfiteatro romano di Alba Fucens,Point(13.412313 42.07718)
Q106205202,antica cattedrale di Santa Maria,Point(13.307944 42.399278)
Q45380970,antica chiesa di San Francesco,Point(13.401232 42.352785)
Q90157894,antica chiesa di San Nicola,Point(13.42419 42.02329)
Q3674097,antica chiesa di Santa Maria in Albe,Point(13.412388888 42.086027777)
Q25115520,antica chiesa di Santa Maria in Vico,Point(13.429111111 42.015777777)
Q91349830,antico monastero di Santa Caterina,Point(13.42795 42.02969)
Q56260860,antiquarium comunale,Point(14.220657 42.192248)
Q3632777,badia Morronese,Point(13.922295 42.08845)
Q3632806,badia di Santa Maria della Gloria,Point(13.1243 41.7557)
Q21171492,basilica dei Santi Cesidio e Rufino,Point(13.53809 41.9584)
Q20009061,basilica del Volto Santo,Point(14.062383 42.24995)
Q3635671,basilica della Madonna dei sette dolori,Point(14.182118 42.468037)
Q2886989,basilica di San Bernardino,Point(13.401738 42.350224)
Q3669707,basilica di San Giuseppe Artigiano,Point(13.39674 42.34973)
Q105620522,basilica di San Giustino,Point(13.465385026 42.35362337)
Q2887128,basilica di Santa Maria Assunta,Point(14.109182 41.78639)
Q3635763,basilica di Santa Maria del Colle,Point(14.064861111 41.889083333)
Q2942748,basilica di Santa Maria delle Grazie,Point(13.6623 42.0268)
Q2034923,basilica di Santa Maria di Collemaggio,Point(13.404722222 42.342777777)
Q108272104,borgo medievale di Alba Fucens,Point(13.412063932 42.083675152)
Q55193791,campanile del duomo,Point(13.979077 42.58048)
Q55196888,campanile della cattedrale di San Giustino,Point(14.166538 42.351302)
Q55193812,campanile di Sant'Agostino,Point(13.978148 42.579707)
Q55196618,campanile di Santa Maria Assunta,Point(13.82968 41.781067)
Q55196663,campanile di Santa Maria Bambina,Point(13.448357 41.866025)
Q120801907,cappella dei Caduti,Point(13.362361 42.094136)
Q120802954,cappella del Beato Nunzio Sulprizio,Point(14.083833 42.472306)
Q120824521,cappella del Seminario Diocesano,Point(13.257806 41.693944)
Q120801592,cappella dell'Assunta,Point(13.508194 42.355833)
Q120801681,cappella della Madonna della Croce,Point(13.704556 42.244722)
Q120824314,cappella della Madonna di Loreto,Point(13.344833 41.727222)
Q121869861,cappella della Santissima Trinità,Point(13.069343 41.880417)
Q46326208,cappella di Maria Vergine del Soccorso,Point(14.037185 41.736114)
Q96634312,cappella di San Francesco,Point(13.692268 42.327838)
Q120824352,cappella di San Francesco,Point(13.109092 41.740528)
Q120803005,cappella di San Rocco,Point(13.985806 42.3335)
Q120801527,cappella di San Rocco,Point(13.051995 42.112042)
Q96482630,cappella di San Rocco,Point(13.705562 42.245719)
Q96575342,cappella di San Rocco,Point(14.071344 42.364159)
Q120803006,cappella di San Vittorino,Point(13.993667 42.338)
Q120801564,cappella di San Vittorino,Point(13.576667 42.265)
Q121160972,cappella di Sant'Anna,Point(13.148419 42.241889)
Q120824505,cappella di Sant'Anna,Point(13.3765 41.774306)
Q120802930,cappella di Sant'Antonio,Point(13.862056 42.317278)
Q120801657,cappella di Sant'Antonio,Point(13.381833 42.253028)
Q120802992,cappella di Sant'Antonio di Padova,Point(14.152091 42.514556)
Q120801444,cappella di Sant'Erasmo alla Montagna,Point(13.693111 42.2135)
Q120824777,cappella di Sant'Oliva,Point(13.272917 41.775806)
Q120803080,cappella di Santa Lucia,Point(13.935278 42.245139)
Q120801593,cappella di Santa Maria della Purità,Point(13.673667 42.250358)
Q120801721,cappella di Santa Maria delle Grazie,Point(13.610222 42.277278)
Q98542858,cappella di Santa Maria delle Grazie,Point(13.644385 42.343275)
Q55192632,casa Museo Giulio Raimondo Mazzarino,Point(13.66536 42.02893)
Q3661338,casa museo Signorini Corsi,Point(13.398666666 42.349944444)
Q55193893,casa natale di S. Camillo de Lellis,Point(14.182742 42.305862)
Q3662306,castello Baglioni,Point(14.21645283 42.08826483)
Q3662308,castello Boncompagni - Viscogliosi,Point(13.574091 41.680196)
Q3662312,castello Caldora (Pacentro),Point(13.995264 42.051671)
Q23826240,castello Caracciolo,Point(13.912041 42.213431)
Q25668500,castello Chiola-Caracciolo,Point(13.985873 42.433919)
Q25668500,castello Chiola-Caracciolo,Point(13.9858 42.433893)
Q24704188,castello De Sterlich-Aliprandi,Point(13.983384 42.333257)
Q96575423,castello Marcantonio,Point(14.071426 42.364093)
Q55165783,castello Rivera,Point(13.3892 42.364943)
Q46261155,castello di Alfedena,Point(14.03251 41.735092)
Q18543212,castello di Barisciano,Point(13.59997 42.325423)
Q46259331,castello di Barrea,Point(13.992401 41.758308)
Q18543165,castello di Bominaco,Point(13.660298 42.245851)
Q50330836,castello di Camarda,Point(13.495245 42.392625)
Q3662336,castello di Carsoli,Point(13.087428 42.101126)
Q18196328,castello di Fossa,Point(13.487355 42.293385)
Q23387867,castello di Gagliano Aterno,Point(13.699332 42.127108)
Q21196189,castello di Gamberale,Point(14.210255555 41.904458333)
Q55185623,castello di Girifalco,Point(13.331472 42.005417)
Q18281754,castello di Ocre,Point(13.482908 42.291858)
Q23671483,castello di Oricola,Point(13.039091 42.049498)
Q23918287,castello di Ortona dei Marsi,Point(13.724995 41.999208)
Q55185694,castello di Pagliara,Point(13.68366 42.479666)
Q23662338,castello di Pereto,Point(13.10186 42.05999)
Q103923745,castello di Poggio Picenze,Point(13.541378 42.320008)
Q125689076,castello di Rocca Santo Stefano,Point(13.25200164 42.327099295)
Q55435447,castello di Rovere,Point(13.519153 42.177225)
Q3662855,castello di Salle,Point(13.958778 42.16676)
Q111550381,castello di San Casto,Point(13.612511 41.728296)
Q18543207,castello di San Pio delle Camere,Point(13.66017 42.287281)
Q125689040,castello di Sant'Angelo,Point(13.240039317 42.296296966)
Q18524019,castello di Sant'Eusanio Forconese,Point(13.520685 42.293899)
Q55185610,castello di Tremonti,Point(13.194341 42.09309)
Q16538186,castello di Vicalvi,Point(13.713899 41.682063)
Q23638921,castello ducale Cantelmo,Point(13.83888 42.173244)
Q25915502,castello ducale di Palena,Point(14.139296 41.985054)
Q3662984,castello normanno,Point(13.80257183 41.994038)
Q2942686,cattedrale dei Santi Massimo e Giorgio,Point(13.3972 42.349199)
Q2942552,cattedrale di Avezzano,Point(13.4267 42.0346)
Q1643492,cattedrale di San Cetteo,Point(14.21255 42.46022)
Q2942636,cattedrale di San Giustino,Point(14.1665 42.3514)
Q788293,cattedrale di San Panfilo,Point(13.92047 42.05398)
Q120801795,cattedrale di San Panfilo Vescovo,Point(13.928917 42.048178)
Q2942522,cattedrale di Santa Maria,Point(13.1619 41.743)
Q2942812,cattedrale di Santa Maria Assunta,Point(13.6156 41.7234)
Q2942816,cattedrale di Santa Scolastica,Point(13.1106 41.9182)
Q120824539,centro Pastorale,Point(13.216417 41.796806)
Q55183339,centro d'arte e cultura Alberto Di Giovanni,Point(14.025006 42.215221)
Q55675224,centro di documentazione Ocriticum,Point(14.012345 42.004112)
Q55193898,centro di documentazione permanente sulle case di terra cruda,Point(14.135329 42.290831)
Q2961291,certosa di Trisulti,Point(13.396883 41.779736)
Q2961291,certosa di Trisulti,Point(13.3975 41.7794)
Q55137258,"certosa di Trisulti, chiesa di San Bartolomeo",Point(13.37085 41.76425)
Q121160848,chiea di Santa Croce,Point(13.210528 42.1745)
Q120824790,chiesa Beata Maria Vergine del Buon Consiglio,Point(13.477611 41.697806)
Q121160849,chiesa Beata Vergine di Loreto,Point(13.181889 42.207389)
Q121161436,chiesa Icona della Macchia,Point(13.074975 42.437806)
Q121161101,chiesa Immagine Madonna della Concezione,Point(13.143103 42.204556)
Q81611930,chiesa Madonna della Neve,Point(13.856457 42.023622)
Q121160827,chiesa Madonna della Tenerezza,Point(13.155108 42.378167)
Q120824508,chiesa Maria Santissima della Consolazione,Point(13.369133 41.763444)
Q121869522,chiesa Parrocchiale Santa Maria Assunta,Point(13.052881 41.697444)
Q120824526,chiesa Sacro Cuore,Point(13.2216 41.686828)
Q55120118,chiesa San Donato Martire,Point(13.882016 42.531612)
Q120824797,chiesa San Leucio,Point(13.428056 41.702119)
Q120824799,chiesa San Michele Arcangelo,Point(13.419275 41.694556)
Q120824800,chiesa San Michele Arcangelo in Città,Point(13.417983 41.695694)
Q120824801,chiesa San Paolo Apostolo,Point(13.418342 41.6885)
Q120824527,chiesa San Rocco,Point(13.261528 41.696639)
Q121869525,chiesa San Rocco,Point(13.048689 41.700728)
Q63924445,chiesa San Rocco,Point(14.231153 42.356415)
Q120170352,chiesa Sant'Antonio Abate,Point(14.152137 42.216978)
Q120824532,chiesa Sant'Oliva,Point(13.251278 41.718147)
Q120824802,chiesa Santa Croce,Point(13.417275 41.690528)
Q112713027,chiesa Santa Maria Assunta,Point(14.03925 42.352808333)
Q120824528,chiesa Santa Maria degli Angeli,Point(13.253333 41.692694)
Q55140392,chiesa Santa Maria dei Cavalieri Gaudenti,Point(13.258944 41.694472)
Q120824803,chiesa Santa Maria dei Franconi,Point(13.418244 41.690861)
Q120824808,chiesa Santissimo Crocifisso,Point(13.427667 41.702861)
Q55114951,chiesa abbaziale Santa Maria Maggiore,Point(14.003047 42.156254)
Q55166290,chiesa abbaziale di Santa Maria in Monteplanizio,Point(14.152869 42.002947)
Q98544706,chiesa ai caduti,Point(13.553861 42.523186)
Q55164392,chiesa collegiata e parrocchia di S. Nicola,Point(13.313611 41.7985)
Q118522208,chiesa degli Zoccolanti,Point(13.629528 42.582694)
Q120803020,chiesa dei Santi Angeli Custodi,Point(14.203444 42.455611)
Q118353053,chiesa dei Santi Apostoli Pietro e Paolo,Point(14.182333 41.791528)
Q18287953,chiesa dei Santi Biagio e Nicola,Point(13.820101 42.593019)
Q120801512,chiesa dei Santi Cipriano e Giustina,Point(13.273778 42.530861)
Q55116854,chiesa dei Santi Cosma e Damiano,Point(14.112328 41.789989)
Q54870763,chiesa dei Santi Cosma e Damiano,Point(13.231495 42.45849)
Q120803074,chiesa dei Santi Cosma e Damiano Martiri,Point(14.110417 42.433306)
Q96356024,chiesa dei Santi Crispiniano e Crispino,Point(14.106597 41.786513)
Q3668131,chiesa dei Santi Fabiano e Sebastiano,Point(13.126029 42.264873)
Q120801660,chiesa dei Santi Fabiano e Sebastiano,Point(13.393194 42.107017)
Q120824353,chiesa dei Santi Filippo e Giacomo,Point(13.143333 41.768631)
Q120824354,chiesa dei Santi Filippo e Giacomo Apostoli,Point(13.150399 41.769214)
Q55162345,chiesa dei Santi Gaugerico e Michele,Point(13.290389 41.727083)
Q120824818,chiesa dei Santi Giovanni Battista ed Evangelista,Point(13.697 41.695167)
Q120824615,chiesa dei Santi Giovanni Battista ed Evangelista,Point(13.655222 41.749444)
Q81738122,chiesa dei Santi Giovanni e Paolo,Point(13.601487 42.06554)
Q103982468,chiesa dei Santi Giovanni e Paolo,Point(13.268225 42.123781)
Q121870081,chiesa dei Santi Giuseppe e Vitaliano,Point(13.022025 41.691222)
Q120802993,chiesa dei Santi Innocenti Martiri,Point(14.168444 42.493444)
Q102400166,chiesa dei Santi Leucio e Nicola,Point(13.62398 41.86662)
Q3668266,chiesa dei Santi Marciano e Nicandro,Point(13.394777777 42.348833333)
Q120801594,chiesa dei Santi Marciano e Nicandro,Point(13.357139 42.332833)
Q121161078,chiesa dei Santi Marciano e Nicantro,Point(13.107244 42.218633)
Q118522172,chiesa dei Santi Maria del Caldarolo e Valentino,Point(13.631944 42.505278)
Q55186295,chiesa dei Santi Maria e Marcello,Point(13.8124122 41.7097178)
Q16539790,chiesa dei Santi Nicola e Clemente,Point(14.188196 42.042245)
Q81541522,chiesa dei Santi Pietro e Lorenzo,Point(13.716682 42.175966)
Q17624720,chiesa dei Santi Pietro e Paolo,Point(13.78956 41.811422)
Q3668340,chiesa dei Santi Pietro e Paolo,Point(14.030555555 41.735)
Q120801513,chiesa dei Santi Pietro e Paolo,Point(13.285642 42.535481)
Q118522144,chiesa dei Santi Pietro e Paolo,Point(13.477556 42.547639)
Q120801718,chiesa dei Santi Proto e Giacinto,Point(13.299806 42.416153)
Q118522145,chiesa dei Santi Proto e Giacinto,Point(13.515111 42.546944)
Q118522147,chiesa dei Santi Silvestro e Rocco,Point(13.515833 42.586167)
Q120801756,chiesa dei Santi Stefano e Silvestro,Point(13.628778 42.295083)
Q120803063,chiesa dei Santi Valentino e Damiano,Point(13.986194 42.233853)
Q120170180,chiesa dei Santi XII Apostoli,Point(14.139464 42.349139)
Q101515934,chiesa dei Santissimi Pietro e Paolo,Point(14.16537 42.348428)
Q54870752,chiesa del Beato Andrea,Point(13.24514 42.523737)
Q120801504,chiesa del Beato Andrea,Point(13.347694 42.529167)
Q120802939,chiesa del Beato Giovanni XXIII,Point(14.0785 42.356417)
Q120803021,chiesa del Beato Nunzio Sulprizio Operaio,Point(14.206806 42.447667)
Q120801748,chiesa del Calvario,Point(13.563389 42.301514)
Q120801488,chiesa del Calvario,Point(13.759056 41.945667)
Q120801819,chiesa del Calvario,Point(13.240306 42.065608)
Q118522148,chiesa del Calvario,Point(13.509444 42.554889)
Q120824524,chiesa del Cristo Re,Point(13.222944 41.756694)
Q120801595,chiesa del Crocifisso,Point(13.403361 42.354694)
Q65952808,chiesa del Crocifisso,Point(13.403365 42.354724)
Q118521973,chiesa del Crocifisso,Point(13.994611 42.584472)
Q120801542,chiesa del Cuore Immacolato di Maria,Point(13.542333 41.999083)
Q118522314,chiesa del Cuore Immacolato di Maria,Point(14.125933 42.545806)
Q121870082,chiesa del Gesù,Point(13.024828 41.691389)
Q120170434,chiesa del Purgatorio,Point(14.233111 42.288694)
Q55109483,chiesa del Purgatorio,Point(14.181702 42.30476)
Q120803007,chiesa del Sacratissimo Cuore di Gesù,Point(14.006861 42.35825)
Q120802913,chiesa del Sacro Cuore,Point(13.950567 42.250739)
Q120801543,chiesa del Sacro Cuore,Point(13.5445 42.078869)
Q120801692,chiesa del Sacro Cuore,Point(13.714 42.011189)
Q120801691,chiesa del Sacro Cuore,Point(13.045114 42.068589)
Q101848026,chiesa del Sacro Cuore di Gesù,Point(13.422264 42.037059)
Q120801771,chiesa del Sacro Cuore di Gesù,Point(13.204083 42.101868)
Q96356130,chiesa del Sacro Cuore di Gesù,Point(14.117168 41.778255)
Q120824708,chiesa del Sacro Cuore di Gesù,Point(13.090867 41.834536)
Q101515072,chiesa del Sacro Cuore di Gesù,Point(14.177564 42.350466)
Q48810118,chiesa del Sacro Cuore di Gesù,Point(14.207311 42.470347)
Q118522315,chiesa del Salvatore,Point(14.091111 42.564167)
Q120801796,chiesa del Santissimo Crocifisso,Point(13.924306 42.043247)
Q121160973,chiesa del Santissimo Crocifisso,Point(13.141147 42.239833)
Q98557295,chiesa del Santissimo Crocifisso,Point(13.04739 42.53402)
Q120170181,chiesa del Santissimo Crocifisso,Point(14.139186 42.356444)
Q121160844,chiesa del Santissimo Dionisio Rustico ed Eleuterio,Point(13.056969 42.407361)
Q81924871,chiesa del Santissimo Nome di Maria,Point(13.898211 42.007376)
Q55178721,chiesa del Santissimo Rosario,Point(14.19352 42.48204)
Q120803023,chiesa del Santissimo Sacramento per l'Adorazione perpetua,Point(14.213639 42.461583)
Q66737992,chiesa del Santissimo Salvatore,Point(13.475036 42.285885)
Q120801693,chiesa del Santissimo Salvatore,Point(13.736167 41.969889)
Q120801706,chiesa del Santissimo Salvatore,Point(13.101698 42.059956)
Q120801537,chiesa del Santissimo Salvatore,Point(13.322667 42.004881)
Q55137260,chiesa del Santissimo Salvatore,Point(13.3678377 41.7613356)
Q54874135,chiesa del Santissimo Salvatore,Point(13.225482 42.522003)
Q54870759,chiesa del Santissimo Salvatore,Point(13.267498 42.555152)
Q118522149,chiesa del Santissimo Salvatore,Point(13.49 42.586833)
Q118522209,chiesa del Santissimo Salvatore,Point(13.678056 42.5825)
Q55185971,chiesa del Santissimo Salvatore,Point(13.960378 42.177415)
Q120170182,chiesa del Santissimo Salvatore,Point(14.189222 42.369289)
Q55179116,chiesa del Santissimo Salvatore,Point(14.045303 42.395087)
Q120801697,chiesa del Santissimo Salvatore e San Potito,Point(13.515222 42.120808)
Q55117437,chiesa del Santissimo Salvatore e Santa Maria,Point(13.711944 42.489167)
Q18289065,chiesa del Santo Spirito,Point(13.972114 42.579947)
Q120801682,chiesa del Suffragio,Point(13.727639 42.238917)
Q55182351,chiesa del convento di S. Antonio Abate,Point(14.188259 42.214829)
Q120802955,chiesa del convento di San Patrignano,Point(14.016525 42.458389)
Q99506417,chiesa del vecchio cimitero,Point(14.012662 42.101916)
Q121161158,chiesa dell'Addolorata,Point(13.115378 42.540944)
Q81757143,chiesa dell'Addolorata,Point(13.834 42.17195)
Q55133970,chiesa dell'Addolorata,Point(14.170893 42.352424)
Q55083238,chiesa dell'Annunciata,Point(13.172278 41.790806)
Q86308055,chiesa dell'Annunziata,Point(13.490171 42.234999)
Q62008191,chiesa dell'Annunziata,Point(13.396457 42.351864)
Q55172474,chiesa dell'Annunziata,Point(13.026397 41.860639)
Q120802944,chiesa dell'Annunziata,Point(14.052639 42.516222)
Q55185207,chiesa dell'Assunzione della Beata Vergine,Point(14.0432 42.32084)
Q120803075,chiesa dell'Assunzione della Beata Vergine Maria,Point(14.110139 42.447611)
Q101811855,chiesa dell'Ave Maria,Point(13.321158 42.311596)
Q120802914,chiesa dell'Iconicella,Point(13.952019 42.195333)
Q118362737,chiesa dell'Immacolata,Point(14.231528 41.854889)
Q120170259,chiesa dell'Immacolata,Point(14.219944 42.189806)
Q121869823,chiesa dell'Immacolata Concezione,Point(13.021969 41.956278)
Q121160920,chiesa dell'Immacolata Concezione,Point(13.038856 42.175833)
Q120801908,chiesa dell'Immacolata Concezione,Point(13.395722 42.106797)
Q120801462,chiesa dell'Immacolata Concezione,Point(13.412639 42.063267)
Q120824322,chiesa dell'Immacolata Concezione,Point(13.319378 41.757139)
Q120824596,chiesa dell'Immacolata Concezione,Point(13.060706 41.801953)
Q118522177,chiesa dell'Immacolata Concezione,Point(13.663056 42.502222)
Q101513227,chiesa dell'Immacolata Concezione,Point(14.225421 42.409271)
Q121161105,chiesa dell'Immagine della Madonna,Point(13.01575 42.307028)
