placeQ,placeLabel,location
Q3662317,Castello Cantelmo,Point(13.740281 41.692022)
Q23541400,Castello De Sanctis,Point(13.886416 42.125972)
Q83032138,Castello Dragonetti de Torres,Point(13.306544 42.436626)
Q91404440,Castello Ducale,Point(13.874854 42.241178)
Q23892248,Castello Gizzi,Point(13.926938888 42.243647222)
Q16538000,Castello Longhi,Point(13.290432 41.727496)
Q113584553,Castello Mareri,Point(13.047558 42.242927)
Q21196199,Castello Mediceo di Bussi sul Tirino,Point(13.829436111 42.211466666)
Q67013615,Castello Medievale,Point(13.968195 42.518336)
Q23702078,Castello Orsini (Massa d'Albe),Point(13.412480555 42.084233333)
Q3662348,Castello Orsini-Colonna,Point(13.425776111 42.027621944)
Q15712465,Castello Piccolomini,Point(13.769108 42.267815)
Q3662360,Castello Piccolomini,Point(13.545808 42.084491)
Q23702079,Castello Piccolomini,Point(13.643923 41.955154)
Q46262234,Castello Piccolomini,Point(13.512932 41.85299)
Q3662358,Castello Piccolomini,Point(13.573789 41.80047)
Q113583602,Castello Teofilatto,Point(13.267686 41.787713)
Q113358964,Castello di Bacucco,Point(13.78249 42.501865)
Q55158260,Castello di Beffi,Point(13.676221 42.192143)
Q106542491,Castello di Cesura,Point(13.241083585 42.414626324)
Q67386699,Castello di Collefegato,Point(13.242704 42.194427)
Q113584543,Castello di Girgenti,Point(13.075329 42.237323)
Q113584429,Castello di Macchia Timone,Point(13.12819 42.237367)
Q113356517,Castello di Marano dei Marsi,Point(13.271346 42.124887)
Q101670276,Castello di Pescasseroli,Point(13.783888888 41.800277777)
Q113584285,Castello di Piscignola,Point(13.118212 42.377426)
Q113584286,Castello di Poggiovalle,Point(13.190278 42.17813)
Q113584430,Castello di Rascino,Point(13.137095 42.343947)
Q1166100,Castello di Rocca Calascio,Point(13.687988 42.329412)
Q113356518,Castello di Rosciolo dei Marsi,Point(13.339105 42.117943)
Q113583497,Castello di San Giorgio,Point(13.172484 41.757495)
Q113584287,Castello di Sant'Anatolia,Point(13.292658 42.147258)
Q50359150,Castello di Tagliacozzo,Point(13.242096 42.067864)
Q113583494,Castello di Tecchiena,Point(13.318734 41.685541)
Q83166337,Castello di Valleoscura,Point(13.978564 41.931806)
Q113584552,Castello di Vittiano,Point(13.042139 42.265901)
Q50078,Castelvecchio Subequo,Point(13.728611111 42.131111111)
Q124749924,Castle,Point(13.906805555 42.113361111)
Q3663134,Castrum Porciani,Point(13.207648 41.764982)
Q2942801,Cattedrale di Santa Maria Assunta,Point(13.0233 41.6929)
Q55193870,Centro Orso,Point(13.623717 41.866346)
Q55182018,Centro museale San Domenico,Point(14.14152 42.216933)
Q112705915,Centro museale di documentazione e ricerca scientifica di paleontologia,Point(14.03867 41.74572)
Q94532315,Centro verde,Point(13.72926 41.99844)
Q24052407,Cerfennia,Point(13.637861111 42.066666666)
Q124773392,Chiarino,Point(13.44489 42.491149)
Q30024835,Civita d'Antino,Point(13.47215 41.88629)
Q3678797,Civitaretenga,Point(13.70589 42.24581)
Q51100730,Collegiata di San Pietro,Point(13.488513 42.235698)
Q3684377,Comino,Point(14.190785 42.187244)
Q118522229,Confraternita di Sant'Antonio e del Santissimo Sacramento,Point(13.627278 42.582111)
Q2428630,Corfinium,Point(13.835249 42.11739)
Q3694651,Corso Vittorio Emanuele,Point(13.39941 42.349648)
Q3695267,Costa Masciarelli,Point(13.400843 42.347357)
Q23000145,Cunicoli di Claudio,Point(13.433388888 41.988527777)
Q50356423,Dongione di Introdacqua,Point(13.896696 42.006271)
Q2942549,Duomo di Atri,Point(13.9789 42.5804)
Q55386101,Ecomuseo della riserva naturale Zompo lo Schioppo,Point(13.437558 41.8618)
Q3891403,Emiciclo,Point(13.398444444 42.344944444)
Q86711103,Eremo dell'Annunziata,Point(13.533814 42.546389)
Q118522196,Eremo di Fra Nicola,Point(13.669303 42.481056)
Q23833688,Eremo di San Michele Arcangelo,Point(14.062763 41.910499)
Q55359912,Esposizione permanente di costumi teatrali,Point(13.092368 41.842827)
Q22263742,Ex mattatoio,Point(13.389166666 42.350194444)
Q118522198,"Focolare ""Maria Regina""",Point(13.626861 42.503417)
Q3747324,Fontana Sarracco,Point(13.880685 41.903025)
Q3747359,Fontana del Nettuno,Point(13.40125 42.352777777)
Q3747363,Fontana del Pisciarello,Point(13.879448 41.903695)
Q3076103,Fontana delle 99 cannelle,Point(13.38961111 42.34961111)
Q54857793,Fontana delle cinque cannelle,Point(14.182127 42.467385)
Q3747448,Fontana luminosa,Point(13.401333333 42.353833333)
Q55165532,Fontana monumentale,Point(13.775988 42.079731)
Q55140927,Fontana trecentesca,Point(13.605862 42.229717)
